model,split,metric,value,status,run_id,evaluation_run_id,checkpoint,source_checkpoint,training_config,training_cpu,training_cpu_source,training_gpu
maxpool_mlp,test,accuracy,0.932,measured_full_test_selected_model,runs/part-b-full,runs/part-b-selected,task2_sentiment/srinidhi/checkpoints/maxpool_mlp/best.pt,runs/part-b-full/maxpool_mlp/checkpoints/best.pt,task2_sentiment/srinidhi/outputs/full/maxpool_mlp/training_config.json,AMD EPYC 7543 32-Core Processor,verification/part_b_cpu_hardware.txt,NVIDIA GeForce RTX 5090
maxpool_mlp,test,confusion_matrix,"[[17770, 1230], [1354, 17646]]",measured_full_test_selected_model,runs/part-b-full,runs/part-b-selected,task2_sentiment/srinidhi/checkpoints/maxpool_mlp/best.pt,runs/part-b-full/maxpool_mlp/checkpoints/best.pt,task2_sentiment/srinidhi/outputs/full/maxpool_mlp/training_config.json,AMD EPYC 7543 32-Core Processor,verification/part_b_cpu_hardware.txt,NVIDIA GeForce RTX 5090
maxpool_mlp,test,roc_auc,0.9815935166204987,measured_full_test_selected_model,runs/part-b-full,runs/part-b-selected,task2_sentiment/srinidhi/checkpoints/maxpool_mlp/best.pt,runs/part-b-full/maxpool_mlp/checkpoints/best.pt,task2_sentiment/srinidhi/outputs/full/maxpool_mlp/training_config.json,AMD EPYC 7543 32-Core Processor,verification/part_b_cpu_hardware.txt,NVIDIA GeForce RTX 5090
maxpool_mlp,test,pr_auc_trapezoidal,0.9823367570403351,measured_full_test_selected_model,runs/part-b-full,runs/part-b-selected,task2_sentiment/srinidhi/checkpoints/maxpool_mlp/best.pt,runs/part-b-full/maxpool_mlp/checkpoints/best.pt,task2_sentiment/srinidhi/outputs/full/maxpool_mlp/training_config.json,AMD EPYC 7543 32-Core Processor,verification/part_b_cpu_hardware.txt,NVIDIA GeForce RTX 5090
maxpool_mlp,test,mcc,0.8640184006764469,measured_full_test_selected_model,runs/part-b-full,runs/part-b-selected,task2_sentiment/srinidhi/checkpoints/maxpool_mlp/best.pt,runs/part-b-full/maxpool_mlp/checkpoints/best.pt,task2_sentiment/srinidhi/outputs/full/maxpool_mlp/training_config.json,AMD EPYC 7543 32-Core Processor,verification/part_b_cpu_hardware.txt,NVIDIA GeForce RTX 5090
maxpool_mlp,test,brier,0.05268637505515327,measured_full_test_selected_model,runs/part-b-full,runs/part-b-selected,task2_sentiment/srinidhi/checkpoints/maxpool_mlp/best.pt,runs/part-b-full/maxpool_mlp/checkpoints/best.pt,task2_sentiment/srinidhi/outputs/full/maxpool_mlp/training_config.json,AMD EPYC 7543 32-Core Processor,verification/part_b_cpu_hardware.txt,NVIDIA GeForce RTX 5090
maxpool_mlp,test,ece_15,0.026869014426738343,measured_full_test_selected_model,runs/part-b-full,runs/part-b-selected,task2_sentiment/srinidhi/checkpoints/maxpool_mlp/best.pt,runs/part-b-full/maxpool_mlp/checkpoints/best.pt,task2_sentiment/srinidhi/outputs/full/maxpool_mlp/training_config.json,AMD EPYC 7543 32-Core Processor,verification/part_b_cpu_hardware.txt,NVIDIA GeForce RTX 5090
maxpool_mlp,test,test_loss,0.18763503535170303,measured_full_test_selected_model,runs/part-b-full,runs/part-b-selected,task2_sentiment/srinidhi/checkpoints/maxpool_mlp/best.pt,runs/part-b-full/maxpool_mlp/checkpoints/best.pt,task2_sentiment/srinidhi/outputs/full/maxpool_mlp/training_config.json,AMD EPYC 7543 32-Core Processor,verification/part_b_cpu_hardware.txt,NVIDIA GeForce RTX 5090
maxpool_mlp,test,macro_precision,0.9320184008723873,measured_full_test_selected_model,runs/part-b-full,runs/part-b-selected,task2_sentiment/srinidhi/checkpoints/maxpool_mlp/best.pt,runs/part-b-full/maxpool_mlp/checkpoints/best.pt,task2_sentiment/srinidhi/outputs/full/maxpool_mlp/training_config.json,AMD EPYC 7543 32-Core Processor,verification/part_b_cpu_hardware.txt,NVIDIA GeForce RTX 5090
maxpool_mlp,test,macro_recall,0.9319999999999999,measured_full_test_selected_model,runs/part-b-full,runs/part-b-selected,task2_sentiment/srinidhi/checkpoints/maxpool_mlp/best.pt,runs/part-b-full/maxpool_mlp/checkpoints/best.pt,task2_sentiment/srinidhi/outputs/full/maxpool_mlp/training_config.json,AMD EPYC 7543 32-Core Processor,verification/part_b_cpu_hardware.txt,NVIDIA GeForce RTX 5090
