scope,direction,metric,value,status,details,checkpoint_sha256,data_manifest_sha256
test,photo_to_monet,fid,195.82003626484618,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,photo_to_monet,kid,0.011112085897475482,computed,"{""note"": ""Subset SD is not training-seed uncertainty; unbiased KID estimates may be negative"", ""subset_size"": 30, ""subset_std"": 0.004937408893181942, ""subsets"": 50}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,photo_to_monet,precision,0.6011396011396012,computed,"{""nearest_k"": 5}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,photo_to_monet,recall,0.6333333333333333,computed,"{""nearest_k"": 5}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,photo_to_monet,density,0.5196581196581197,computed,"{""nearest_k"": 5}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,photo_to_monet,coverage,1.0,computed,"{""nearest_k"": 5}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,photo_to_monet,lpips_cycle,0.18855660488335496,computed,"{""count"": 702}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,photo_to_monet,content_cosine,0.8103030257754855,computed,"{""count"": 702}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,photo_to_monet,cycle_l1,0.09750508292023613,computed,"{""count"": 702, ""pixel_range"": ""[-1,1]""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,photo_to_monet,source_count,702,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,photo_to_monet,generated_count,702,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,photo_to_monet,real_reference_count,30,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,photo_to_monet,inference_seconds,2.054546600091271,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,photo_to_monet,inference_images_per_second,341.6812254191822,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
